,all_time_quantity_sold,product_id,seller_id,category_id,brand_id
161,212,9979633,73012,28920,111461
162,288,110055062,73012,5350,111461
163,3469,53704413,65686,1846,111461
164,884,44012580,25203,1846,18802
165,258,44012841,25203,2679,18802
166,101,136981085,49929,1828,927055
167,408,15215426,73012,28900,111461
168,2727,138481685,1,6255,19246
169,143,187392403,25203,28840,18802
170,321,74311543,154163,4293,27464
171,957,10001369,25203,2679,18802
172,2244,38323087,25203,28842,21862
173,1120,26314426,73012,4642,111461
174,9979,134561311,783,1828,18845
175,2638,8608925,65686,28944,111461
176,490,46634155,73012,4642,111461
177,297,173164642,73012,4642,195495
178,255,217317583,25203,5350,110682
179,353,171869909,73012,4642,195495
180,142,216462048,25203,5350,110682
181,726,21089128,154163,4294,27464
182,4325,74975883,154163,4293,27464
183,2917,54439144,154163,1846,27464
184,2312,52373199,65686,28944,111461
185,1696,160440903,65836,1828,19073
186,378,25319983,49929,1828,18845
187,703,24255305,64160,1846,111461
188,389,174029994,65836,1828,19073
189,2978,53254176,65686,1846,111461
190,2725,124742926,1,2458,17827
191,1630,134641513,49929,1828,18845
192,935,416978,154163,4294,27464
193,2221,419322,1,1846,18806
194,7,12477248,329374,4642,111461
195,976,74573141,154163,4293,27464
196,2422,17967481,129537,4343,25422
197,2137,76030024,154163,1846,27464
198,249,65107101,25203,28840,18802
199,1398,806744,45,1828,111460
200,184,416911,154163,4294,27464
201,352,73312665,25203,28840,18845
202,383,68600962,95215,5350,505907
203,1516,97346988,1,1846,25422
204,848,53181542,65686,28944,111461
205,87,709035,217686,4454,112149
206,1019,32246331,65686,28944,111461
207,1074,67619329,27572,28906,18991
208,726,74561661,154163,4294,27464
209,212,9979633,73012,28920,111461
210,288,110055062,73012,5350,111461
211,3469,53704413,65686,1846,111461
212,884,44012580,25203,1846,18802
213,258,44012841,25203,2679,18802
214,101,136981085,49929,1828,927055
215,408,15215426,73012,28900,111461
216,2727,138481685,1,6255,19246
217,143,187392403,25203,28840,18802
218,321,74311543,154163,4293,27464
219,957,10001369,25203,2679,18802
220,2244,38323087,25203,28842,21862
221,1120,26314426,73012,4642,111461
222,9979,134561311,783,1828,18845
223,2638,8608925,65686,28944,111461
224,490,46634155,73012,4642,111461
225,297,173164642,73012,4642,195495
226,255,217317583,25203,5350,110682
227,353,171869909,73012,4642,195495
228,143,187392403,25203,28840,18802
229,321,74311543,154163,4293,27464
230,957,10001369,25203,2679,18802
231,2244,38323087,25203,28842,21862
232,1120,26314426,73012,4642,111461
233,9979,134561311,783,1828,18845
234,2638,8608925,65686,28944,111461
235,490,46634155,73012,4642,111461
236,297,173164642,73012,4642,195495
237,255,217317583,25203,5350,110682
238,353,171869909,73012,4642,195495
239,142,216462048,25203,5350,110682
240,726,21089128,154163,4294,27464
241,4325,74975883,154163,4293,27464
242,2917,54439144,154163,1846,27464
243,2312,52373199,65686,28944,111461
244,1696,160440903,65836,1828,19073
245,378,25319983,49929,1828,18845
246,703,24255305,64160,1846,111461
247,389,174029994,65836,1828,19073
248,2978,53254176,65686,1846,111461
249,2725,124742926,1,2458,17827
250,1630,134641513,49929,1828,18845
251,935,416978,154163,4294,27464
252,2221,419322,1,1846,18806
253,7,12477248,329374,4642,111461
254,976,74573141,154163,4293,27464
255,2422,17967481,129537,4343,25422
256,2137,76030024,154163,1846,27464
257,249,65107101,25203,28840,18802
258,1398,806744,45,1828,111460
259,184,416911,154163,4294,27464
260,352,73312665,25203,28840,18845
261,383,68600962,95215,5350,505907
262,1516,97346988,1,1846,25422
263,848,53181542,65686,28944,111461
264,87,709035,217686,4454,112149
265,1019,32246331,65686,28944,111461
266,1074,67619329,27572,28906,18991
267,726,74561661,154163,4294,27464
268,212,9979633,73012,28920,111461
269,288,110055062,73012,5350,111461
270,3469,53704413,65686,1846,111461
271,884,44012580,25203,1846,18802
272,258,44012841,25203,2679,18802
273,101,136981085,49929,1828,927055
274,408,15215426,73012,28900,111461
275,2727,138481685,1,6255,19246
276,143,187392403,25203,28840,18802
277,321,74311543,154163,4293,27464
278,957,10001369,25203,2679,18802
279,2244,38323087,25203,28842,21862
280,1120,26314426,73012,4642,111461
281,9979,134561311,783,1828,18845
282,2638,8608925,65686,28944,111461
283,490,46634155,73012,4642,111461
284,297,173164642,73012,4642,195495
285,255,217317583,25203,5350,110682
286,353,171869909,73012,4642,195495
287,142,216462048,25203,5350,110682
288,726,21089128,154163,4294,27464
289,4325,74975883,154163,4293,27464
290,2917,54439144,154163,1846,27464
291,2312,52373199,65686,28944,111461
292,1696,160440903,65836,1828,19073
293,378,25319983,49929,1828,18845
294,703,24255305,64160,1846,111461
295,389,174029994,65836,1828,19073
296,2978,53254176,65686,1846,111461
297,2725,124742926,1,2458,17827
298,1630,134641513,49929,1828,18845
299,935,416978,154163,4294,27464
300,2221,419322,1,1846,18806
301,7,12477248,329374,4642,111461
302,976,74573141,154163,4293,27464
303,2422,17967481,129537,4343,25422
304,2137,76030024,154163,1846,27464
305,249,65107101,25203,28840,18802
306,1398,806744,45,1828,111460
307,184,416911,154163,4294,27464
308,352,73312665,25203,28840,18845
309,383,68600962,95215,5350,505907
310,1516,97346988,1,1846,25422
311,848,53181542,65686,28944,111461
312,87,709035,217686,4454,112149
313,1019,32246331,65686,28944,111461
314,1074,67619329,27572,28906,18991
315,726,74561661,154163,4294,27464
316,212,9979633,73012,28920,111461
317,288,110055062,73012,5350,111461
318,3469,53704413,65686,1846,111461
319,884,44012580,25203,1846,18802
320,258,44012841,25203,2679,18802
321,101,136981085,49929,1828,927055
322,408,15215426,73012,28900,111461
323,2727,138481685,1,6255,19246
324,143,187392403,25203,28840,18802
325,321,74311543,154163,4293,27464
326,957,10001369,25203,2679,18802
327,2244,38323087,25203,28842,21862
328,1120,26314426,73012,4642,111461
329,9979,134561311,783,1828,18845
330,2638,8608925,65686,28944,111461
331,490,46634155,73012,4642,111461
332,297,173164642,73012,4642,195495
333,255,217317583,25203,5350,110682
334,353,171869909,73012,4642,195495
335,142,216462048,25203,5350,110682
336,726,21089128,154163,4294,27464
337,4325,74975883,154163,4293,27464
338,2917,54439144,154163,1846,27464
339,2312,52373199,65686,28944,111461
340,1696,160440903,65836,1828,19073
341,378,25319983,49929,1828,18845
342,703,24255305,64160,1846,111461
343,389,174029994,65836,1828,19073
344,2978,53254176,65686,1846,111461
345,2725,124742926,1,2458,17827
346,1630,134641513,49929,1828,18845
347,935,416978,154163,4294,27464
348,7,12477248,329374,4642,111461
349,976,74573141,154163,4293,27464
350,2422,17967481,129537,4343,25422
351,2137,76030024,154163,1846,27464
352,249,65107101,25203,28840,18802
353,1398,806744,45,1828,111460
354,184,416911,154163,4294,27464
355,352,73312665,25203,28840,18845
356,383,68600962,95215,5350,505907
357,1516,97346988,1,1846,25422
358,848,53181542,65686,28944,111461
359,87,709035,217686,4454,112149
360,1019,32246331,65686,28944,111461
361,1074,67619329,27572,28906,18991
362,726,74561661,154163,4294,27464
363,212,9979633,73012,28920,111461
364,288,110055062,73012,5350,111461
365,3469,53704413,65686,1846,111461
366,884,44012580,25203,1846,18802
367,258,44012841,25203,2679,18802
368,101,136981085,49929,1828,927055
369,408,15215426,73012,28900,111461
370,2727,138481685,1,6255,19246
371,143,187392403,25203,28840,18802
372,321,74311543,154163,4293,27464
373,957,10001369,25203,2679,18802
374,2244,38323087,25203,28842,21862
375,1120,26314426,73012,4642,111461
376,9979,134561311,783,1828,18845
377,2638,8608925,65686,28944,111461
378,490,46634155,73012,4642,111461
379,297,173164642,73012,4642,195495
380,255,217317583,25203,5350,110682
381,353,171869909,73012,4642,195495
382,142,216462048,25203,5350,110682
383,726,21089128,154163,4294,27464
384,4325,74975883,154163,4293,27464
385,2917,54439144,154163,1846,27464
386,2312,52373199,65686,28944,111461
387,1696,160440903,65836,1828,19073
388,378,25319983,49929,1828,18845
389,703,24255305,64160,1846,111461
390,389,174029994,65836,1828,19073
391,2978,53254176,65686,1846,111461
392,2725,124742926,1,2458,17827
393,1630,134641513,49929,1828,18845
394,935,416978,154163,4294,27464
395,2221,419322,1,1846,18806
396,7,12477248,329374,4642,111461
397,976,74573141,154163,4293,27464
398,2422,17967481,129537,4343,25422
399,2137,76030024,154163,1846,27464
400,249,65107101,25203,28840,18802
401,1398,806744,45,1828,111460
402,184,416911,154163,4294,27464
403,352,73312665,25203,28840,18845
404,383,68600962,95215,5350,505907
405,1516,97346988,1,1846,25422
406,848,53181542,65686,28944,111461
407,87,709035,217686,4454,112149
408,1019,32246331,65686,28944,111461
409,1074,67619329,27572,28906,18991
410,726,74561661,154163,4294,27464
411,212,9979633,73012,28920,111461
412,288,110055062,73012,5350,111461
413,3469,53704413,65686,1846,111461
414,884,44012580,25203,1846,18802
415,258,44012841,25203,2679,18802
416,101,136981085,49929,1828,927055
417,408,15215426,73012,28900,111461
418,2727,138481685,1,6255,19246
419,143,187392403,25203,28840,18802
420,321,74311543,154163,4293,27464
421,957,10001369,25203,2679,18802
422,2244,38323087,25203,28842,21862
423,1120,26314426,73012,4642,111461
424,9979,134561311,783,1828,18845
425,2638,8608925,65686,28944,111461
426,490,46634155,73012,4642,111461
427,297,173164642,73012,4642,195495
428,255,217317583,25203,5350,110682
429,353,171869909,73012,4642,195495
430,142,216462048,25203,5350,110682
431,726,21089128,154163,4294,27464
432,4325,74975883,154163,4293,27464
433,2917,54439144,154163,1846,27464
434,2312,52373199,65686,28944,111461
435,1696,160440903,65836,1828,19073
436,378,25319983,49929,1828,18845
437,703,24255305,64160,1846,111461
438,389,174029994,65836,1828,19073
439,2978,53254176,65686,1846,111461
440,2725,124742926,1,2458,17827
441,1630,134641513,49929,1828,18845
442,935,416978,154163,4294,27464
443,2221,419322,1,1846,18806
444,7,12477248,329374,4642,111461
445,976,74573141,154163,4293,27464
446,2422,17967481,129537,4343,25422
447,2137,76030024,154163,1846,27464
448,249,65107101,25203,28840,18802
449,1398,806744,45,1828,111460
450,184,416911,154163,4294,27464
