,id,name,sku,price,list_price,discount,discount_rate,inventory_status,max_sale_qty,qty
38,110055062,"Dây cáp sata 3 dành cho ổ cứng HDD, SSD",8306150000000.0,28420,29000,580,2,available,1000,1000
39,53704413,"Hộp mực Dành Cho máy in Canon LBP 2900, 3000",9028920000000.0,114500,114500,0,0,available,1000,1000
40,44012580,RAM Laptop Samsung 8GB DDR4 Bus 3200 - Hàng Nhập Khẩu,3732050000000.0,500000,600000,100000,17,available,1000,1000
41,44012841,RAM Laptop Samsung 16GB DDR4 Bus 3200 - Hàng Nhập Khẩu,7390780000000.0,1300000,1300000,0,0,available,1000,1000
42,136981085,USB 3.2 Gen 1 Kioxia U301 64GB - Hàng Nhập Khẩu,9438690000000.0,125000,125000,0,0,available,1000,1000
43,15215426,"Dây nguồn máy tính, dây nguồn PC dài 1.5-2m, dây nguồn lõi đồng tương thích với đồ gia dụng",2246910000000.0,50000,50000,0,0,available,1000,1000
44,138481685,Phần mềm Microsoft 365 Family English APAC EM Subscr 1YR Medialess P8 (6GQ-01555) - Hàng Chính Hãng,5057440000000.0,1490000,1490000,0,0,available,1000,1000
45,187392403,(Giá Hủy Diệt) Ổ Cứng Di Động SSD Samsung T7 Shield USB 3.2 Gen 2 - Hàng Nhập Khẩu,4144060000000.0,2249000,2500000,251000,10,available,1000,1000
46,74311543,Bộ Phát Wifi Mesh TP-Link Deco E4 (3-pack) Băng Tần Kép MU-MIMO AC1200 - Hàng Chính Hãng,9563110000000.0,1799000,3499000,1700000,49,available,1000,1000
47,10001369,RAM Laptop Samsung 8GB DDR4 2666MHz SODIMM - Hàng Nhập Khẩu,6222570000000.0,450000,540000,90000,17,available,1000,1000
